Image,Group,WPSNR,Attack(s) with parameters
0001,v1,39.09,jpeg(40) + blur(2.0_2.0)
0003,v1,36.38,blur(1.6_1.6) + awgn(15.0_123)
0011,v1,35.53,median(5_5) + awgn(20.0_123)
0012,v1,35.32,median(5_5) + awgn(20.0_123)
0014,v1,36.20,"blur(1.6_1.6) + gauss_flat([0.5, 0.5]_[30, 60])"
0026,v1,37.22,blur(1.6_1.6) + awgn(10.0_123)
0027,v1,37.42,jpeg(30) + median(5_5)
0028,v1,35.32,"blur(1.6_1.6) + gauss_flat([1.0, 1.0]_[30, 60])"
0000,v1_2,49.23,jpeg(40)
0001,v1_2,51.80,jpeg(50)
0002,v1_2,48.98,"jpeg(35) + gauss_edge([0.5, 0.5]_[30, 60])"
0003,v1_2,47.19,jpeg(35) + sharp(0.5_0.5)
0004,v1_2,47.92,jpeg(35)
0005,v1_2,51.99,jpeg(50)
0006,v1_2,48.61,jpeg(35)
0007,v1_2,46.09,jpeg(30)
0008,v1_2,51.37,jpeg(50)
0009,v1_2,46.86,"jpeg(35) + gauss_edge([0.5, 0.5]_[30, 60])"
0003,v1,36.38,blur(1.6_1.6) + awgn(15.0_123)
0001,v1,39.09,jpeg(40) + blur(2.0_2.0)
0000,v1,N/A,NO_SUCCESSFUL_ATTACK_FOUND
0000,nic_strategy,39.62,jpeg(50) + awgn(15.0_123)
0001,nic_strategy,41.55,"blur(1.2_1.2) + gauss_flat([1.0, 1.0]_[30, 60])"
0000,nic_strategy,39.62,jpeg(50) + awgn(15.0_123)
0001,nic_strategy,41.55,"blur(1.2_1.2) + gauss_flat([1.0, 1.0]_[30, 60])"
0002,nic_strategy,N/A,NO_SUCCESSFUL_ATTACK_FOUND
0003,nic_strategy,40.11,median(5_5) + sharp(0.5_0.5)
0004,nic_strategy,36.76,jpeg(50) + median(5_5)
0005,nic_strategy,40.65,jpeg(40) + resize(0.5)
0006,nic_strategy,35.00,blur(2.0_2.0) + awgn(10.0_123)
0007,nic_strategy,37.11,jpeg(30) + resize(0.7)
0008,nic_strategy,38.12,jpeg(50) + blur(1.6_1.6)
0009,nic_strategy,37.46,awgn(20.0_123) + resize(0.5)
0010,nic_strategy,35.54,"blur(2.0_2.0) + gauss_flat([0.5, 0.5]_[30, 60])"
0011,nic_strategy,38.19,jpeg(45) + blur(1.6_1.6)
0012,nic_strategy,39.56,jpeg(45) + median(5_5)
0013,nic_strategy,35.96,blur(0.8_0.8) + awgn(20.0_123)
0014,nic_strategy,40.01,blur(1.2_1.2)
0015,nic_strategy,39.05,"resize(0.7) + gauss_flat([1.0, 1.0]_[30, 60])"
0016,nic_strategy,37.06,awgn(20.0_123) + resize(0.7)
0017,nic_strategy,N/A,NO_SUCCESSFUL_ATTACK_FOUND
0018,nic_strategy,37.06,blur(1.6_1.6) + median(5_5)
0019,nic_strategy,N/A,NO_SUCCESSFUL_ATTACK_FOUND
0020,nic_strategy,37.45,"blur(1.2_1.2) + gauss_flat([0.5, 0.5]_[30, 60])"
0021,nic_strategy,N/A,NO_SUCCESSFUL_ATTACK_FOUND
0022,nic_strategy,37.45,blur(1.2_1.2) + awgn(15.0_123)
0023,nic_strategy,41.00,awgn(10.0_123) + resize(0.7)
0024,nic_strategy,38.03,median(5_5) + awgn(10.0_123)
0025,nic_strategy,41.79,jpeg(30) + median(3_3)
0026,nic_strategy,39.26,"median(5_5) + gauss_flat([1.0, 1.0]_[30, 60])"
0027,nic_strategy,39.39,jpeg(30) + resize(0.5)
0028,nic_strategy,38.49,median(5_5)
0029,nic_strategy,35.06,blur(1.2_1.2) + awgn(15.0_123)
0030,nic_strategy,37.07,jpeg(45) + blur(1.2_1.2)
0031,nic_strategy,44.55,jpeg(35) + resize(0.5)
0032,nic_strategy,N/A,NO_SUCCESSFUL_ATTACK_FOUND
0033,nic_strategy,36.38,blur(0.8_0.8) + awgn(10.0_123)
0034,nic_strategy,38.32,blur(1.2_1.2) + awgn(10.0_123)
0035,nic_strategy,38.86,"blur(1.6_1.6) + gauss_flat([0.5, 0.5]_[30, 60])"
0036,nic_strategy,42.81,jpeg(40) + median(5_5)
0037,nic_strategy,N/A,NO_SUCCESSFUL_ATTACK_FOUND
