strategy,image,watermarked_path,best_attack_names,best_attack_params,best_wpsnr,attack_success_bool,notes
final_strategy,0000.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0000.bmp,,,0.0,False,
final_strategy,0001.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0001.bmp,,,0.0,False,
final_strategy,0002.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0002.bmp,,,0.0,False,
final_strategy,0003.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0003.bmp,,,0.0,False,
final_strategy,0004.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0004.bmp,,,0.0,False,
final_strategy,0005.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0005.bmp,,,0.0,False,
final_strategy,0006.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0006.bmp,,,0.0,False,
final_strategy,0007.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0007.bmp,jpeg+median,"[[95], [5, 5]]",30.7316,True,
final_strategy,0008.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0008.bmp,,,0.0,False,
final_strategy,0009.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0009.bmp,blur+median,"[[np.float64(1.4), np.float64(1.4)], [5, 5]]",34.985,True,
final_strategy,0010.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0010.bmp,,,0.0,False,
final_strategy,0011.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0011.bmp,,,0.0,False,
final_strategy,0012.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0012.bmp,,,0.0,False,
final_strategy,0013.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0013.bmp,,,0.0,False,
final_strategy,0014.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0014.bmp,,,0.0,False,
final_strategy,0015.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0015.bmp,median+awgn,"[[5, 5], [20.0, 123]]",33.4989,True,
final_strategy,0016.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0016.bmp,,,0.0,False,
final_strategy,0017.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0017.bmp,blur+awgn,"[[np.float64(1.6), np.float64(1.6)], [20.0, 123]]",33.3509,True,
final_strategy,0018.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0018.bmp,,,0.0,False,
final_strategy,0019.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0019.bmp,,,0.0,False,
final_strategy,0020.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0020.bmp,median+awgn,"[[5, 5], [15.0, 123]]",33.8116,True,
final_strategy,0021.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0021.bmp,,,0.0,False,
final_strategy,0022.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0022.bmp,,,0.0,False,
final_strategy,0023.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0023.bmp,,,0.0,False,
final_strategy,0024.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0024.bmp,,,0.0,False,
final_strategy,0025.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0025.bmp,median+awgn,"[[5, 5], [20.0, 123]]",32.8519,True,
final_strategy,0026.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0026.bmp,,,0.0,False,
final_strategy,0027.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0027.bmp,,,0.0,False,
final_strategy,0028.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0028.bmp,,,0.0,False,
final_strategy,0029.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0029.bmp,median+awgn,"[[5, 5], [20.0, 123]]",32.4746,True,
final_strategy,0030.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0030.bmp,,,0.0,False,
final_strategy,0031.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0031.bmp,,,0.0,False,
final_strategy,0032.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0032.bmp,blur+median,"[[np.float64(1.6), np.float64(1.6)], [5, 5]]",33.599,True,
final_strategy,0033.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0033.bmp,blur+awgn,"[[np.float64(1.4), np.float64(1.4)], [20.0, 123]]",29.5818,True,
final_strategy,0034.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0034.bmp,,,0.0,False,
final_strategy,0035.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0035.bmp,blur+median,"[[np.float64(1.4), np.float64(1.4)], [5, 5]]",38.343,True,
final_strategy,0036.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0036.bmp,,,0.0,False,
final_strategy,0037.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0037.bmp,,,0.0,False,
final_strategy,0038.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0038.bmp,,,0.0,False,
final_strategy,0039.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0039.bmp,jpeg+median,"[[45], [5, 5]]",35.6179,True,
final_strategy,0040.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0040.bmp,median+awgn,"[[5, 5], [20.0, 123]]",34.1896,True,
final_strategy,0041.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0041.bmp,,,0.0,False,
