image_filename,watermarked_filename,wpsnr_dB
0000.bmp,v1_0000.bmp,57.3910
0001.bmp,v1_0001.bmp,57.3455
0002.bmp,v1_0002.bmp,57.3392
0003.bmp,v1_0003.bmp,57.3673
0004.bmp,v1_0004.bmp,57.3386
0005.bmp,v1_0005.bmp,57.3488
0006.bmp,v1_0006.bmp,57.3384
0007.bmp,v1_0007.bmp,57.3379
0008.bmp,v1_0008.bmp,57.3378
0009.bmp,v1_0009.bmp,57.3378
0010.bmp,v1_0010.bmp,57.3378
0011.bmp,v1_0011.bmp,57.3392
0012.bmp,v1_0012.bmp,57.3383
0013.bmp,v1_0013.bmp,57.3411
0014.bmp,v1_0014.bmp,57.3384
0015.bmp,v1_0015.bmp,57.3382
0016.bmp,v1_0016.bmp,57.3394
0017.bmp,v1_0017.bmp,57.3380
0018.bmp,v1_0018.bmp,57.3379
0019.bmp,v1_0019.bmp,57.3379
0020.bmp,v1_0020.bmp,57.3377
0021.bmp,v1_0021.bmp,57.3379
0022.bmp,v1_0022.bmp,57.3384
0023.bmp,v1_0023.bmp,57.3500
0024.bmp,v1_0024.bmp,57.3382
0025.bmp,v1_0025.bmp,57.3316
0026.bmp,v1_0026.bmp,57.3388
0027.bmp,v1_0027.bmp,57.3463
0028.bmp,v1_0028.bmp,57.3379
0029.bmp,v1_0029.bmp,57.3459
0030.bmp,v1_0030.bmp,57.3378
0031.bmp,v1_0031.bmp,57.3383
0032.bmp,v1_0032.bmp,57.3377
0033.bmp,v1_0033.bmp,57.3388
0034.bmp,v1_0034.bmp,57.3382
0035.bmp,v1_0035.bmp,57.3379
0036.bmp,v1_0036.bmp,57.3380
0037.bmp,v1_0037.bmp,57.3381
0038.bmp,v1_0038.bmp,57.3384
0039.bmp,v1_0039.bmp,57.3380
0040.bmp,v1_0040.bmp,57.3392
0041.bmp,v1_0041.bmp,57.3379
0042.bmp,v1_0042.bmp,57.3380
0043.bmp,v1_0043.bmp,57.3378
0044.bmp,v1_0044.bmp,57.3379
0045.bmp,v1_0045.bmp,57.3380
0046.bmp,v1_0046.bmp,57.3379
0047.bmp,v1_0047.bmp,57.3378
0048.bmp,v1_0048.bmp,57.3378
0049.bmp,v1_0049.bmp,57.3378
0050.bmp,v1_0050.bmp,57.3380
0051.bmp,v1_0051.bmp,57.3383
0052.bmp,v1_0052.bmp,57.3380
0053.bmp,v1_0053.bmp,57.3380
0054.bmp,v1_0054.bmp,57.3380
0055.bmp,v1_0055.bmp,57.3378
0056.bmp,v1_0056.bmp,57.3384
0057.bmp,v1_0057.bmp,57.3379
0058.bmp,v1_0058.bmp,57.3379
0059.bmp,v1_0059.bmp,57.3382
0060.bmp,v1_0060.bmp,57.3379
0061.bmp,v1_0061.bmp,57.3390
0062.bmp,v1_0062.bmp,57.3380
0063.bmp,v1_0063.bmp,57.3380
0064.bmp,v1_0064.bmp,57.3400
0065.bmp,v1_0065.bmp,57.3384
0066.bmp,v1_0066.bmp,57.3384
0067.bmp,v1_0067.bmp,57.3379
0068.bmp,v1_0068.bmp,57.3415
0069.bmp,v1_0069.bmp,57.3394
0070.bmp,v1_0070.bmp,57.3380
0071.bmp,v1_0071.bmp,57.3379
0072.bmp,v1_0072.bmp,57.3380
0073.bmp,v1_0073.bmp,57.3395
0074.bmp,v1_0074.bmp,57.3379
0075.bmp,v1_0075.bmp,57.3379
0076.bmp,v1_0076.bmp,57.3376
0077.bmp,v1_0077.bmp,57.3381
0078.bmp,v1_0078.bmp,57.3378
0079.bmp,v1_0079.bmp,57.3381
0080.bmp,v1_0080.bmp,57.3380
0081.bmp,v1_0081.bmp,57.3380
0082.bmp,v1_0082.bmp,57.3378
0083.bmp,v1_0083.bmp,57.3380
0084.bmp,v1_0084.bmp,57.3403
0085.bmp,v1_0085.bmp,57.3379
0086.bmp,v1_0086.bmp,57.3379
0087.bmp,v1_0087.bmp,57.3380
0088.bmp,v1_0088.bmp,57.3551
0089.bmp,v1_0089.bmp,57.3454
0090.bmp,v1_0090.bmp,57.3434
0091.bmp,v1_0091.bmp,57.3379
0092.bmp,v1_0092.bmp,57.3381
0093.bmp,v1_0093.bmp,57.3384
0094.bmp,v1_0094.bmp,57.3379
0095.bmp,v1_0095.bmp,57.3413
0096.bmp,v1_0096.bmp,57.3385
0097.bmp,v1_0097.bmp,57.3391
0098.bmp,v1_0098.bmp,57.3446
0099.bmp,v1_0099.bmp,57.3457
0100.bmp,v1_0100.bmp,57.3447
buildings.bmp,v1_buildings.bmp,57.3400
rollercoaster.bmp,v1_rollercoaster.bmp,57.3379
tree.bmp,v1_tree.bmp,57.3378
